,CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Street,Supervisor District,Neighborhood,Police District,Latitude,Longitude,Point,Source,Media URL,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Current Police Districts,DELETE - Zip Codes,DELETE - Police Districts,DELETE - Neighborhoods,DELETE - Neighborhoods_from_fyvs_ahh9,DELETE - 2017 Fix It Zones,DELETE - SF Find Neighborhoods,Civic Center Harm Reduction Project Boundary,DELETE - Current Supervisor Districts,Fix It Zones as of 2017-11-06 ,Invest In Neighborhoods (IIN) Areas,DELETE - HSOC Zones,Fix It Zones as of 2018-02-07,"CBD, BID and GBD Boundaries as of 2017",Central Market/Tenderloin Boundary,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary Polygon - Updated,HSOC Zones as of 2018-06-05,OWED Public Spaces,Parks Alliance CPSI (27+TL sites),Neighborhoods
1426772,9898886,12/06/2018 10:28:00 AM,12/10/2018 05:55:00 AM,12/10/2018 05:55:00 AM,Closed,Case is Invalid,311 Supervisor Queue,Abandoned Vehicle,Abandoned Vehicles,DPT Abandoned Vehicles Low,"35 12TH ST, SAN FRANCISCO, CA, 94103",12TH ST,6.0,South of Market,SOUTHERN,37.774041718533,-122.419571367073,"(37.77404172, -122.41957137)",Web,,32.0,1.0,10.0,20.0,9.0,8.0,2.0,28853.0,2.0,19.0,19.0,,32.0,1.0,10.0,,,1.0,,8.0,1.0,2.0,1.0,1.0,,,32.0
366396,315006,11/15/2008 10:06:02 PM,12/05/2008 12:21:20 PM,12/05/2008 12:21:20 PM,Closed,SFHA WO Close - Completed,Housing Authority SR Queue,SFHA Requests,Plumbing,Plumbing - Emergency,"1760 BUSH ST, Apt 107, SAN FRANCISCO, CA, 94109",BUSH ST,5.0,Cathedral Hill,NORTHERN,37.788200378418,-122.426002502441,"(37.78820038, -122.4260025)",Phone,,100.0,4.0,11.0,30.0,11.0,13.0,6.0,28858.0,9.0,27.0,27.0,,100.0,,11.0,,,,,,,1.0,,,,,100.0
4419152,12543525,06/17/2020 08:10:43 PM,06/18/2020 02:52:06 PM,06/18/2020 02:52:06 PM,Closed,Case Resolved - Pickup completed,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,Intersection of DUBOCE AVE and FILLMORE ST,DUBOCE AVE,8.0,Duboce Triangle,PARK,37.769460011467,-122.429853312353,"(37.76946001, -122.42985331)",Mobile/Open311,http://mobile311.sfgov.org/reports/12543525/photos,28.0,7.0,5.0,9.0,5.0,7.0,6.0,29492.0,9.0,10.0,10.0,18.0,28.0,,5.0,20.0,,,20.0,,,1.0,,5.0,,,28.0
1006695,2809072,09/10/2013 05:59:43 AM,09/11/2013 11:19:00 AM,09/11/2013 11:19:00 AM,Closed,Case Transferred - psr# 438765,MUNI Work Queue,MUNI Feedback,MUNI - Conduct_Unsafe_Operation,101_Running_Red_Light_Stop_Sign,Not associated with a specific address,,,,,0.0,0.0,"(0.0, 0.0)",Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4037261,13449648,02/03/2021 03:39:30 PM,02/03/2021 10:15:45 PM,02/03/2021 10:15:45 PM,Closed,Case is a Duplicate - Request is a duplicate and has been previously reported as 13449635,DPW Ops Queue,Litter Receptacles,Toters_left_out_24x7,,Intersection of COMMERCIAL ST and KEARNY ST,COMMERCIAL ST,3.0,Chinatown,CENTRAL,37.79412423388,-122.404727470498,"(37.79412423, -122.40472747)",Mobile/Open311,http://mobile311.sfgov.org/reports/13449648/photos,104.0,6.0,3.0,6.0,10.0,3.0,1.0,28857.0,1.0,4.0,4.0,5.0,104.0,,3.0,5.0,,,5.0,,,2.0,,,,,104.0
4997113,15247037,04/22/2022 11:45:00 AM,04/27/2022 02:56:53 PM,04/27/2022 02:56:53 PM,Closed,Case Resolved - Investigation completed,Muni Feedback Received Queue,Muni Employee Feedback,Muni - Complaint_Pass_Ups_Denial_Inattention,Kneel_Bus_Lower_Steps,Intersection of 25TH AVE and BALBOA ST,25TH AVE,1.0,Outer Richmond,RICHMOND,37.776302166228,-122.48446053689,"(37.77630217, -122.48446054)",Phone,,8.0,8.0,4.0,29.0,2.0,11.0,9.0,55.0,6.0,26.0,26.0,,8.0,,4.0,,,,,,,1.0,,,,,8.0
4492140,12330521,04/17/2020 01:02:37 AM,04/17/2020 01:18:00 AM,04/17/2020 01:18:00 AM,Closed,Case is a Duplicate - Dup SR 12330519,Parking Enforcement Review Queue,Parking Enforcement,Blocking_Driveway_Cite_Tow,Blue - elantra - 8PTY469,"1889 CLAY ST, SAN FRANCISCO, CA, 94109",CLAY ST,2.0,Pacific Heights,NORTHERN,37.7919003,-122.424101,"(37.7919003, -122.424101)",Web,http://mobile311.sfgov.org/reports/12330521/photos,102.0,4.0,6.0,30.0,1.0,13.0,6.0,28858.0,9.0,27.0,27.0,,102.0,,6.0,,,,,,,1.0,,,,,102.0
5230744,14110305,07/27/2021 05:02:44 PM,07/27/2021 05:02:46 PM,07/27/2021 05:02:46 PM,Closed,Case is Invalid - Contact name and phone number are required to submit a request for Blocked Driveway enforcement. Please resubmit with contact information for enforcement.,Parking Enforcement Review Queue,Parking Enforcement,Blocking_Driveway_Cite_Only,White - Chevrolet - 7d52219,"46 HUGO ST, SAN FRANCISCO, CA, 94122",HUGO ST,7.0,Inner Sunset,PARK,37.7654345,-122.4586064,"(37.7654345, -122.4586064)",Web,,109.0,7.0,11.0,14.0,11.0,15.0,8.0,56.0,5.0,12.0,12.0,,109.0,,11.0,,,,,,,1.0,,,,,109.0
2971977,13729525,04/20/2021 06:30:00 AM,04/20/2021 07:54:00 AM,04/20/2021 07:54:00 AM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"82 CUMBERLAND ST, SAN FRANCISCO, CA, 94110",CUMBERLAND ST,8.0,Mission Dolores,MISSION,37.7591,-122.425343,"(37.7591, -122.425343)",Mobile/Open311,,37.0,3.0,5.0,20.0,5.0,2.0,7.0,28859.0,4.0,19.0,19.0,,37.0,,5.0,,,,,,,1.0,,,,,37.0
1972906,9270315,07/15/2018 06:00:00 PM,08/23/2018 06:08:00 AM,08/23/2018 06:08:00 AM,Closed,Area Cleared,RPD Park Patrol Queue,Encampments,Encampment Reports,Encampment Cleanup,"Franklin Square, , SAN FRANCISCO, CA, 94110",Franklin Square,6.0,Mission,MISSION,37.764702,-122.409111,"(37.764702, -122.409111)",Mobile/Open311,http://mobile311.sfgov.org/reports/9270315/photos,53.0,3.0,9.0,20.0,8.0,8.0,7.0,28853.0,4.0,19.0,19.0,,53.0,,9.0,,,3.0,,,,2.0,,3.0,,,53.0
2438267,7309980,06/28/2017 10:17:48 AM,06/29/2017 01:15:28 PM,06/29/2017 01:15:28 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"1134 MONTGOMERY ST, SAN FRANCISCO, CA, 94133",MONTGOMERY ST,3.0,Telegraph Hill,CENTRAL,37.7997238,-122.4039432,"(37.7997238, -122.4039432)",Web,http://mobile311.sfgov.org/reports/7309980/photos,18.0,6.0,3.0,23.0,10.0,3.0,1.0,308.0,1.0,23.0,23.0,21.0,18.0,,3.0,23.0,,,,,,1.0,,,,,18.0
871915,15687380,08/12/2022 02:06:00 PM,08/12/2022 03:23:25 PM,08/12/2022 03:23:25 PM,Closed,Case Resolved - Officer responded to request under CAD # 222241731. Unable to Locate.,Parking Enforcement Dispatch Queue,Parking Enforcement,Other_Illegal_Parking,Red -  - 4RL3087,"101 CARGO WAY, SAN FRANCISCO, CA, 94124",CARGO WAY,10.0,India Basin,BAYVIEW,37.74032189,-122.37743158,"(37.74032189, -122.37743158)",Phone,,76.0,2.0,9.0,1.0,8.0,10.0,3.0,58.0,3.0,1.0,1.0,,76.0,,9.0,,,,,,,1.0,,,,,76.0
2534016,6956953,03/20/2017 11:21:00 AM,03/21/2017 01:07:00 AM,03/21/2017 01:07:00 AM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"1696 VALENCIA ST, SAN FRANCISCO, CA, 94110",VALENCIA ST,9.0,Bernal Heights,INGLESIDE,37.745205,-122.420087,"(37.745205, -122.420087)",Mobile/Open311,http://mobile311.sfgov.org/reports/6956953/photos,83.0,9.0,2.0,2.0,7.0,2.0,4.0,28859.0,7.0,2.0,2.0,,83.0,,2.0,,,,,,,1.0,,,,,83.0
4838105,14442824,10/06/2021 01:54:00 PM,10/12/2021 01:26:37 PM,10/12/2021 01:26:37 PM,Closed,Abandoned Vehicles - Gone on Arrival - At 1222 hours per 7H68,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - Car2door,Gray - Honda - Civic - 6SHH102,"1417 PLYMOUTH AVE, SAN FRANCISCO, CA, 94112",PLYMOUTH AVE,7.0,Westwood Park,INGLESIDE,37.728054046631,-122.456619262695,"(37.72805405, -122.45661926)",Phone,,71.0,9.0,8.0,41.0,4.0,9.0,4.0,28861.0,7.0,40.0,40.0,,71.0,,8.0,,,,,,,1.0,,,,,71.0
5172143,12639380,07/12/2020 07:32:00 AM,07/12/2020 12:16:00 PM,07/12/2020 12:16:00 PM,Closed,Case Resolved - Pickup completed,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,Intersection of GEARY ST and JONES ST,GEARY ST,5.0,Lower Nob Hill,CENTRAL,37.786727905273,-122.413162231445,"(37.78672791, -122.41316223)",Phone,,20.0,6.0,10.0,36.0,9.0,5.0,1.0,28852.0,1.0,36.0,36.0,,20.0,,10.0,,,,,,1.0,2.0,1.0,,,,20.0
5075087,10890386,05/21/2019 10:36:59 AM,05/27/2019 11:00:27 AM,05/27/2019 11:00:27 AM,Closed,"Encampment Removed
Area cleared",HSOC Queue,Encampments,Encampment Reports,Encampment Cleanup,"585 YORK ST, SAN FRANCISCO, CA, 94110",YORK ST,9.0,Mission,MISSION,37.762041666667,-122.409246666667,"(37.76204167, -122.40924667)",Mobile/Open311,http://mobile311.sfgov.org/reports/10890386/photos,53.0,3.0,9.0,20.0,8.0,8.0,7.0,28859.0,4.0,19.0,19.0,,53.0,,9.0,,,3.0,,,,2.0,,3.0,,,53.0
3303185,11139820,07/17/2019 08:40:00 AM,07/17/2019 07:13:00 PM,07/17/2019 07:13:00 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,"875 MARKET ST, SAN FRANCISCO, CA, 94103",MARKET ST,6.0,South of Market,TENDERLOIN,37.784309,-122.407545,"(37.784309, -122.407545)",Mobile/Open311,,32.0,5.0,10.0,34.0,9.0,12.0,2.0,28853.0,2.0,34.0,34.0,17.0,32.0,,10.0,18.0,,,18.0,5.0,,2.0,,,35.0,,32.0
2151935,8481182,01/09/2018 07:49:00 AM,02/08/2018 09:55:38 PM,02/08/2018 09:55:38 PM,Closed,Case Resolved - Maximo Service Request has been resolved,PUC Sewer Ops,General Request - PUC,request_for_service,sewer - request_for_service,"2691 16TH AVE, SAN FRANCISCO, CA, 94116",16TH AVE,7.0,West Portal,TARAVAL,37.737808227539,-122.472244262695,"(37.73780823, -122.47224426)",Phone,,46.0,10.0,8.0,41.0,4.0,1.0,5.0,29491.0,8.0,40.0,40.0,,46.0,,8.0,,,,,,,1.0,,,,,46.0
4173656,13141575,11/13/2020 05:36:00 PM,11/20/2020 09:24:00 AM,11/20/2020 09:24:00 AM,Closed,Case Resolved - PG&E to restore power.,DPT Signal Queue,Damaged Property,Damaged Traffic_Signal,Traffic_Signal,Intersection of FOLSOM ST and 15TH ST,FOLSOM ST,9.0,Mission,MISSION,37.766937255859,-122.415458679199,"(37.76693726, -122.41545868)",Phone,,53.0,3.0,2.0,20.0,7.0,8.0,7.0,28853.0,4.0,19.0,19.0,12.0,53.0,,2.0,14.0,,3.0,14.0,,,2.0,,3.0,,,53.0
97351,716768,08/20/2010 09:11:47 AM,08/24/2010 05:10:35 PM,08/24/2010 05:10:35 PM,Closed,DPT Abandoned Vehicles - Vehicle Towed - Unsafe - TOWED FOR THE EXP REG 08-24-10 @ 1253,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - Car4door,Sil - Volk - Golf - 4NHM764,Intersection of CIRCULAR AVE and CONGO ST,CIRCULAR AVE,7.0,Sunnyside,INGLESIDE,37.729373931885,-122.442008972168,"(37.72937393, -122.44200897)",Phone,,95.0,9.0,8.0,41.0,4.0,9.0,4.0,63.0,7.0,40.0,40.0,,95.0,,8.0,,,,,,,1.0,,,,,95.0
3490277,10601889,03/14/2019 02:17:00 PM,03/19/2019 06:49:31 PM,03/19/2019 06:49:31 PM,Closed,Agencies responded to request and no encampment in area. Area verified clean.,HSOC Queue,Encampments,Encampment Reports,Encampment Cleanup,"2190 MARKET ST, SAN FRANCISCO, CA, 94114",MARKET ST,8.0,Duboce Triangle,MISSION,37.766280723437,-122.430790037205,"(37.76628072, -122.43079004)",Mobile/Open311,,28.0,7.0,5.0,5.0,5.0,7.0,6.0,28862.0,9.0,3.0,3.0,18.0,28.0,,5.0,20.0,12.0,5.0,20.0,9.0,,1.0,,5.0,,,28.0
3435515,10764562,04/22/2019 08:32:00 PM,04/24/2019 08:18:18 AM,04/24/2019 08:18:18 AM,Closed,Case Resolved - 4/24/19 inspected property rollup door not visible. Will come back at a later time to inspect.dd,DPW Ops Queue,Graffiti,Graffiti on Building_commercial,Building_commercial - Offensive,"3040 GEARY BLVD, SAN FRANCISCO, CA, 94118",GEARY BLVD,2.0,Laurel Heights / Jordan Park,RICHMOND,37.782215,-122.4519874,"(37.782215, -122.4519874)",Web,http://mobile311.sfgov.org/reports/10764562/photos,11.0,8.0,6.0,31.0,1.0,15.0,9.0,54.0,6.0,31.0,31.0,,11.0,,6.0,,,,,,,1.0,,,,,11.0
5242582,14404947,09/28/2021 09:19:00 AM,09/29/2021 12:00:00 AM,09/29/2021 12:00:00 AM,Closed,Case Resolved - VAN NESS BRT SENT TO SFMTA - VAN NESS BRT SENT TO SFMTA,DPW BSM Queue,Noise Report,construction_public,Noise Report - construction_public,"1460 UNION ST, SAN FRANCISCO, CA, 94109",UNION ST,3.0,Russian Hill,NORTHERN,37.798774719238,-122.423347473145,"(37.79877472, -122.42334747)",Phone,,107.0,4.0,6.0,32.0,1.0,13.0,6.0,28858.0,9.0,32.0,32.0,,107.0,,6.0,,,,,,,1.0,,,,,107.0
2325409,8056371,09/23/2017 12:53:00 PM,09/23/2017 06:44:00 AM,09/23/2017 06:44:00 AM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"2406 HARRISON ST, SAN FRANCISCO, CA, 94110",HARRISON ST,9.0,Mission,MISSION,37.75877624288,-122.412587385739,"(37.75877624, -122.41258739)",Mobile/Open311,http://mobile311.sfgov.org/reports/8056371/photos,53.0,3.0,2.0,20.0,7.0,2.0,7.0,28859.0,4.0,19.0,19.0,,53.0,,2.0,,,3.0,,,,2.0,,3.0,,,53.0
1230544,15513521,06/29/2022 11:57:00 AM,06/29/2022 12:20:17 PM,06/29/2022 12:20:17 PM,Closed,Case Resolved - Officer responded to request under CAD # 221801251. Unable to Locate.,Parking Enforcement Dispatch Queue,Parking Enforcement,Blocking_Driveway_Cite_Tow,Blue Camo - ?????? - ??????,"839 CENTRAL AVE, SAN FRANCISCO, CA, 94115",CENTRAL AVE,2.0,Western Addition,PARK,37.77746927,-122.44524839,"(37.77746927, -122.44524839)",Phone,,97.0,7.0,11.0,18.0,11.0,15.0,8.0,54.0,5.0,16.0,16.0,,97.0,,11.0,,,,,,,1.0,,,,,97.0
4806798,14356595,09/16/2021 10:54:00 PM,09/17/2021 11:06:00 AM,09/17/2021 11:06:00 AM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,"747 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,6.0,South of Market,SOUTHERN,37.775999195593,-122.412863541471,"(37.7759992, -122.41286354)",Mobile/Open311,http://mobile311.sfgov.org/reports/14356595/photos,32.0,1.0,10.0,34.0,9.0,8.0,2.0,28853.0,2.0,34.0,34.0,,32.0,1.0,10.0,,,1.0,,,1.0,2.0,1.0,1.0,,,32.0
3551075,735838,09/19/2010 08:07:26 AM,09/19/2010 09:36:57 AM,09/19/2010 09:36:57 AM,Closed,Case Resolved - New sr#735855 DPW/Trees/Landscaping,311 Service Request Queue,311 External Request,Damaged_Property,,Intersection of ALEMANY BLVD and SANTA ROSA AVE,ALEMANY BLVD,11.0,Mission Terrace,INGLESIDE,37.726718902588,-122.435989379883,"(37.7267189, -122.43598938)",Phone,,94.0,9.0,1.0,28.0,6.0,9.0,4.0,28861.0,7.0,25.0,25.0,,94.0,,1.0,,,,,,,1.0,,,,,94.0
4585180,12070946,02/11/2020 01:48:00 PM,02/11/2020 02:02:00 PM,02/11/2020 02:02:00 PM,Closed,Case Resolved - PRIVATE PROPERTY,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,"3432 SAN BRUNO AVE, SAN FRANCISCO, CA, 94134",SAN BRUNO AVE,10.0,Portola,INGLESIDE,37.718647003174,-122.400451660156,"(37.718647, -122.40045166)",Phone,,91.0,9.0,9.0,40.0,8.0,10.0,4.0,309.0,7.0,39.0,39.0,,91.0,,9.0,,,,,,,2.0,,,,,91.0
3927106,445213,06/06/2009 10:39:50 AM,04/29/2011 11:07:45 AM,04/29/2011 11:07:45 AM,Closed,Case Resolved,Housing Authority SR Queue,SFHA Requests,Laborer,Laborer - Routine,"1750 MCALLISTER ST, Apt 1103, SAN FRANCISCO, CA, 94115",MCALLISTER ST,5.0,Western Addition,PARK,37.777801513672,-122.44100189209,"(37.77780151, -122.44100189)",Phone,,97.0,7.0,11.0,39.0,11.0,15.0,8.0,29490.0,5.0,41.0,41.0,,97.0,,11.0,,,,,,,1.0,,,,,97.0
1332853,12927689,09/21/2020 01:48:00 PM,12/17/2021 09:41:13 PM,12/17/2021 09:41:13 PM,Closed,Case Resolved - Maximo Work Order has been completed. Memo:,PUC Sewer Ops,Sewer Issues,Sewage_back_up,Outofsewervent4inch,"20 RHINE ST, SAN FRANCISCO, CA, 94112",RHINE ST,11.0,Outer Mission,TARAVAL,37.709449768066,-122.460906982422,"(37.70944977, -122.46090698)",Phone,,66.0,10.0,1.0,28.0,6.0,9.0,5.0,28861.0,8.0,25.0,25.0,,66.0,,1.0,,,,,,,2.0,,,,,66.0
3042548,11872079,12/29/2019 08:27:00 AM,12/29/2019 11:44:42 AM,12/29/2019 11:44:42 AM,Closed,Case Resolved - WASTE NOT FOUND                                   .,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,Intersection of LEAVENWORTH ST and SUTTER ST,LEAVENWORTH ST,3.0,Lower Nob Hill,CENTRAL,37.788387298584,-122.415184020996,"(37.7883873, -122.41518402)",Phone,,50.0,6.0,3.0,21.0,10.0,13.0,1.0,28858.0,1.0,21.0,21.0,,50.0,,3.0,,,,,,,2.0,,,,,50.0
3066042,15748616,08/28/2022 09:25:00 AM,08/29/2022 06:54:00 AM,08/29/2022 06:54:00 AM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,"2122 MISSION ST, SAN FRANCISCO, CA, 94110",MISSION ST,9.0,Mission,MISSION,37.763036810014,-122.419586704335,"(37.76303681, -122.4195867)",Mobile/Open311,http://mobile311.sfgov.org/reports/15748616/photos,53.0,3.0,2.0,20.0,7.0,8.0,7.0,28859.0,4.0,19.0,19.0,13.0,53.0,,2.0,15.0,,3.0,15.0,,,2.0,,3.0,,,53.0
2613064,6724834,01/13/2017 08:57:02 AM,01/13/2017 05:40:13 PM,01/13/2017 05:40:13 PM,Closed,Case Resolved,DPW Ops Queue,Blocked Street or SideWalk,Blocked_Sidewalk,Cafe_table_and_chairs blocking sidewalk,"20 DASHIELL HAMMETT ST, SAN FRANCISCO, CA, 94108",DASHIELL HAMMETT ST,3.0,Nob Hill,CENTRAL,37.790741,-122.407913,"(37.790741, -122.407913)",Mobile/Open311,http://mobile311.sfgov.org/reports/6724834/photos,16.0,6.0,3.0,21.0,10.0,5.0,1.0,28857.0,1.0,21.0,21.0,,16.0,,3.0,,,,,,,1.0,,,,,16.0
3088311,11720264,11/21/2019 04:30:00 PM,11/21/2019 05:53:12 PM,11/21/2019 05:53:12 PM,Closed,Case Resolved - Officer responded to request under CAD # 193252922. Issue was addressed.,Parking Enforcement Dispatch Queue,Parking Enforcement,Other_Illegal_Parking,Parking Enforcement,"550 TERRY A FRANCOIS B LVD, SAN FRANCISCO, CA, 94158",TERRY A FRANCOIS B LVD,0.0,,,37.769934785968,-122.386469614391,"(37.76993479, -122.38646961)",Mobile/Open311,,34.0,1.0,10.0,4.0,9.0,14.0,3.0,310.0,3.0,20.0,20.0,,34.0,,10.0,,,,,,,1.0,,,,,34.0
562911,5684611,03/21/2016 09:12:37 AM,03/22/2016 10:03:37 AM,03/22/2016 10:03:37 AM,Closed,Case Resolved - Completed by zone personnel.,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"720 MOSCOW ST, SAN FRANCISCO, CA, 94112",MOSCOW ST,11.0,Excelsior,INGLESIDE,37.71635055542,-122.431678771973,"(37.71635056, -122.43167877)",Web,,90.0,9.0,1.0,7.0,6.0,9.0,4.0,28861.0,7.0,5.0,5.0,,90.0,,1.0,,,,,,,2.0,,,,,90.0
2093458,8933442,04/29/2018 07:36:53 AM,04/29/2018 08:35:00 AM,04/29/2018 08:35:00 AM,Closed,Case Resolved - Scheduled for service,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"1255 CALIFORNIA ST, SAN FRANCISCO, CA, 94109",CALIFORNIA ST,3.0,Nob Hill,CENTRAL,37.791093880024,-122.414952603149,"(37.79109388, -122.4149526)",Web,,16.0,6.0,3.0,21.0,10.0,5.0,1.0,28858.0,1.0,21.0,21.0,,16.0,,3.0,,,,,,,1.0,,,,,16.0
289727,447751,06/10/2009 02:30:04 PM,06/11/2009 06:11:02 AM,06/11/2009 06:11:02 AM,Closed,See Notes tab for more details,DPW Ops Queue,Encampments,Encampment items,Clothing,"777 VALENCIA ST, SAN FRANCISCO, CA, 94110",VALENCIA ST,9.0,Mission,MISSION,37.760562896729,-122.421287536621,"(37.7605629, -122.42128754)",Phone,,53.0,3.0,2.0,20.0,7.0,2.0,7.0,28859.0,4.0,19.0,19.0,,53.0,,2.0,,,3.0,,,,2.0,,3.0,,,53.0
89994,6233264,08/24/2016 01:10:00 PM,10/17/2016 05:48:39 PM,10/17/2016 05:48:39 PM,Closed,Case Resolved - done,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"2761 16TH ST, SAN FRANCISCO, CA, 94103",16TH ST,9.0,Mission,MISSION,37.765535,-122.414649,"(37.765535, -122.414649)",Mobile/Open311,http://mobile311.sfgov.org/reports/6233264/photos,53.0,3.0,2.0,20.0,7.0,8.0,7.0,28853.0,4.0,19.0,19.0,,53.0,,2.0,,,3.0,,,,2.0,,3.0,,,53.0
5382666,526936,10/18/2009 11:15:18 AM,10/22/2009 01:16:22 PM,10/22/2009 01:16:22 PM,Closed,See Notes tab for more details,DPW Ops Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,Intersection of POLK ST and POST ST,POLK ST,3.0,Tenderloin,NORTHERN,37.786827087402,-122.419929504395,"(37.78682709, -122.4199295)",Phone,,50.0,4.0,3.0,36.0,10.0,13.0,6.0,28858.0,9.0,36.0,36.0,,50.0,,3.0,,,,,10.0,,2.0,,,,,50.0
5744006,15756586,08/30/2022 06:35:00 AM,09/09/2022 05:00:34 PM,09/09/2022 05:00:34 PM,Closed,Case Transferred - Per process - cases are closed 5 days after assignment.,311 Service Request Queue - Hold,General Request - PUC,request_for_service,puco - request_for_service,Intersection of HYDE ST and GREENWICH ST,HYDE ST,3.0,Russian Hill,CENTRAL,37.801063537598,-122.419425964355,"(37.80106354, -122.41942596)",Phone,,107.0,6.0,6.0,32.0,1.0,5.0,1.0,28858.0,1.0,32.0,32.0,,107.0,,6.0,,,,,,,1.0,,,,,107.0
3802853,948769,08/26/2011 02:31:58 PM,08/27/2011 06:11:24 AM,08/27/2011 06:11:24 AM,Closed,See Notes tab for more details,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"51 MINERVA ST, SAN FRANCISCO, CA, 94112",MINERVA ST,11.0,Oceanview,TARAVAL,37.715679168701,-122.454360961914,"(37.71567917, -122.45436096)",Phone,,81.0,10.0,1.0,24.0,6.0,9.0,5.0,28861.0,8.0,24.0,24.0,,81.0,,1.0,,,,,,,2.0,,,,,81.0
701380,4285408,12/09/2014 10:59:44 AM,12/09/2014 02:13:25 PM,12/09/2014 02:13:25 PM,Closed,Case Completed - resolved: WASTE NOT FOUND,Recology_Abandoned,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"2591 22ND ST, SAN FRANCISCO, CA, 94110",22ND ST,10.0,Potrero Hill,MISSION,37.756853,-122.406659,"(37.756853, -122.406659)",Mobile/Open311,http://mobile311.sfgov.org/reports/4285408/photos,54.0,3.0,9.0,20.0,8.0,10.0,7.0,28859.0,4.0,19.0,19.0,23.0,54.0,,9.0,10.0,,3.0,10.0,,,2.0,,3.0,,,54.0
769926,3972945,09/02/2014 07:11:14 AM,09/02/2014 09:27:40 AM,09/02/2014 09:27:40 AM,Closed,Case Completed - resolved: Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of BENNINGTON ST and CORTLAND AVE,BENNINGTON ST,9.0,Holly Park,INGLESIDE,37.739185333252,-122.417778015137,"(37.73918533, -122.41777802)",Web,,83.0,9.0,2.0,2.0,7.0,2.0,4.0,28859.0,7.0,2.0,2.0,,83.0,,2.0,,,,,,,1.0,,,,,83.0
653687,5387982,12/19/2015 01:46:29 AM,12/21/2015 01:26:26 PM,12/21/2015 01:26:26 PM,Closed,"Case Resolved - I CONTACTED MS. McPHERSON BY PHONE 12/21/15 11:30 REGARDING HER CITATION, QUESTIONS AND INFORMED TO PROTEST THE TICKET.",SFMTA - Parking Enforcement - G,General Request - MTA,customer_callback,parking_enforcement - customer_callback,Not associated with a specific address,,,,,0.0,0.0,"(0.0, 0.0)",Web,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563094,5697727,03/24/2016 06:34:57 PM,03/28/2016 08:22:38 PM,03/28/2016 08:22:38 PM,Closed,Case Resolved - Per PSA manager: Graffiti has been removed,RPD Park Service Area 2 Queue,Graffiti,Graffiti on City_receptacle,City_receptacle - Offensive,"897 VERMONT ST, SAN FRANCISCO, CA, 94107",VERMONT ST,10.0,Potrero Hill,BAYVIEW,37.758394,-122.403717,"(37.758394, -122.403717)",Mobile/Open311,http://mobile311.sfgov.org/reports/5697727/photos,54.0,2.0,9.0,26.0,8.0,10.0,3.0,28856.0,3.0,29.0,29.0,,54.0,,9.0,,,,,,,1.0,,,,,54.0
